Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 42.54      0.57     0.57  5724465     0.00     0.00  std::_Function_handler<Color (), RenderTriangle2::drawTriangleX(FrameBuffer*, std::array<float, 3ul>&, Vec3 const&, std::vector<Light, std::allocator<Light> >&, Texture*, Material const&)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
 21.64      0.86     0.29      159     1.82     1.82  Texture::FillBlack()
 16.42      1.08     0.22   475693     0.00     0.00  RenderTriangle2::projectAndDraw(std::vector<Light, std::allocator<Light> >&, Entity const*, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)
  3.73      1.13     0.05  6808321     0.00     0.00  DepthBuffer::getDepth(unsigned int, unsigned int) const
  3.73      1.18     0.05      159     0.31     0.31  DepthBuffer::resetDepth()
  2.99      1.22     0.04  6268419     0.00     0.00  Mat4::operator*(Vec4 const&) const
  2.99      1.26     0.04      318     0.13     3.02  renderEntities(std::vector<Entity const*, std::allocator<Entity const*> >&, std::vector<Light, std::allocator<Light> >&, FrameBuffer*, Mat4 const&, Mat4 const&, Camera&, E_RasterizerMode)
  1.49      1.28     0.02  5724465     0.00     0.00  Texture::SetPixelColor(unsigned int, unsigned int, Color const&)
  1.49      1.30     0.02  3699493     0.00     0.00  Vertex::Vertex(Vertex const&)
  0.75      1.31     0.01  5724465     0.00     0.00  FrameBuffer::SetPixel(unsigned int, unsigned int, float, Color const&)
  0.75      1.32     0.01   993591     0.00     0.00  Vertex::changeRef(Mat4 const&)
  0.75      1.33     0.01   475693     0.00     0.00  std::_Function_base::_Base_manager<RenderTriangle2::drawTriangleX(FrameBuffer*, std::array<float, 3ul>&, Vec3 const&, std::vector<Light, std::allocator<Light> >&, Texture*, Material const&)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<RenderTriangle2::drawTriangleX(FrameBuffer*, std::array<float, 3ul>&, Vec3 const&, std::vector<Light, std::allocator<Light> >&, Texture*, Material const&)::{lambda()#1}> const&, std::_Manager_operation)
  0.75      1.34     0.01        1    10.00    10.00  Texture::Texture(unsigned int, unsigned int)
  0.00      1.34     0.00  5724465     0.00     0.00  DepthBuffer::setDepth(unsigned int, unsigned int, float)
  0.00      1.34     0.00  5724465     0.00     0.00  std::_Function_handler<void (Color&, Vec3&), Material::additionalShaders::{lambda(Color&, Vec3&)#1}>::_M_invoke(std::_Any_data const&, Color&, Vec3&)
  0.00      1.34     0.00  2691234     0.00     0.00  Vertex::operator=(Vertex const&)
  0.00      1.34     0.00    12820     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      1.34     0.00    11301     0.00     0.00  tinyobj::parseInt(char const**)
  0.00      1.34     0.00     9458     0.00     0.00  tinyobj::safeGetline(std::istream&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      1.34     0.00     9006     0.00     0.00  tinyobj::parseTriple(char const**, int, int, int, tinyobj::vertex_index_t*) [clone .constprop.568]
  0.00      1.34     0.00     9006     0.00     0.00  std::vector<tinyobj::index_t, std::allocator<tinyobj::index_t> >::push_back(tinyobj::index_t const&)
